,Unnamed: 0,Police_Force_Name,Year,Quarter,Detailed_Offence_Description,Offence_Group,Offence_Subgroup,Number_of_Arrests,Arrests_Ranked,Level_of_Lockdown,Region
44986,44986,Norfolk,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
46253,46253,North Yorkshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,North
46838,46838,Northamptonshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
46839,46839,Northamptonshire,2019,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],No Lockdown,East Midlands
47475,47475,Northumbria,2019,1,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],No Lockdown,North
47476,47476,Northumbria,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,North
48932,48932,South Wales,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South West
48933,48933,South Wales,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South West
49591,49591,South Yorkshire,2019,1,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],No Lockdown,East Midlands
49592,49592,South Yorkshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
49593,49593,South Yorkshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
50258,50258,Staffordshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,West Midlands
50874,50874,Suffolk,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
51525,51525,Surrey,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South East
51526,51526,Surrey,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South East
51527,51527,Surrey,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South East
52246,52246,Sussex,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South East
53015,53015,Thames Valley,2019,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],No Lockdown,South East
54254,54254,West Mercia,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South West
54255,54255,West Mercia,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South West
54256,54256,West Mercia,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South West
54257,54257,West Mercia,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South West
55012,55012,West Midlands,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,West Midlands
55013,55013,West Midlands,2019,1,Homicide,Violence against the person,Homicide,11,(-0.001. 20.0],No Lockdown,West Midlands
55014,55014,West Midlands,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,West Midlands
55828,55828,West Yorkshire,2019,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],No Lockdown,East Midlands
55829,55829,West Yorkshire,2019,1,Homicide,Violence against the person,Homicide,6,(-0.001. 20.0],No Lockdown,East Midlands
55830,55830,West Yorkshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,East Midlands
56518,56518,Wiltshire,2019,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],No Lockdown,South West
56805,56805,Avon and Somerset,2021,3,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Low,South West
56906,56906,Bedfordshire,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,South East
56997,56997,British Transport Police,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,British Transport Police
57236,57236,Cleveland,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,North
57322,57322,Cumbria,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,North
57409,57409,Derbyshire,2021,3,Homicide,Violence against the person,Homicide,7,(-0.001. 20.0],Low,West Midlands
57502,57502,Devon and Cornwall,2021,3,Homicide,Violence against the person,Homicide,6,(-0.001. 20.0],Low,South West
57678,57678,Durham,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,North
57834,57834,Essex,2021,3,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Low,South East
57926,57926,Gloucestershire,2021,3,Homicide,Violence against the person,Homicide,5,(-0.001. 20.0],Low,South West
58009,58009,Greater Manchester,2021,3,Homicide,Violence against the person,Homicide,9,(-0.001. 20.0],Low,West Midlands
58199,58199,Hampshire,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,South East
58305,58305,Hertfordshire,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,South East
58396,58396,Humberside,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,East Midlands
58491,58491,Kent,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,South East
58596,58596,Lancashire,2021,3,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],Low,West Midlands
