,Police_Force_Name,Year,Quarter,Offence_Group,Number_of_Arrests,Arrests_Ranked,Region,Level_of_Lockdown
56440,Wiltshire,2019,1,Theft offences,3,(-0.001. 20.0],South West,No Lockdown
20450,Nottinghamshire,2020,1,Public order offences,2,(-0.001. 20.0],East Midlands,High
9610,Essex,2020,1,Violence against the person,1,(-0.001. 20.0],South East,High
101768,Metropolitan Police,2021,1,Theft offences,16,(-0.001. 20.0],South East,Medium
12788,Kent,2020,1,Theft offences,10,(-0.001. 20.0],South East,High
14717,Leicestershire,2020,1,Public order offences,22,(20.0. 40.0],East Midlands,High
84574,Cumbria,2021,1,Violence against the person,1,(-0.001. 20.0],North,Medium
23945,Sussex,2020,1,Theft offences,29,(20.0. 40.0],South East,High
8973,Dyfed-Powys,2020,1,Drug offences,2,(-0.001. 20.0],South West,High
37005,Greater Manchester,2019,1,Drug offences,80,(60.0. 80.0],West Midlands,No Lockdown
32658,Derbyshire,2019,1,Sexual offences,8,(-0.001. 20.0],West Midlands,No Lockdown
106900,South Yorkshire,2021,1,Public order offences,8,(-0.001. 20.0],East Midlands,Medium
81170,Thames Valley,2021,3,Violence against the person,43,(40.0. 60.0],South East,Medium
26336,West Mercia,2020,1,Public order offences,4,(-0.001. 20.0],South West,High
7192,Devon and Cornwall,2020,1,Public order offences,10,(-0.001. 20.0],South West,High
97095,Hertfordshire,2021,1,Sexual offences,1,(-0.001. 20.0],South East,Medium
56889,Avon and Somerset,2021,3,Violence against the person,306,(300. 400],South West,Medium
17727,North Wales,2020,1,Sexual offences,2,(-0.001. 20.0],South West,High
65861,Durham,2021,3,Theft offences,3,(-0.001. 20.0],North,Medium
64865,Devon and Cornwall,2021,3,Theft offences,1,(-0.001. 20.0],South West,Medium
85634,Lancashire,2021,1,Theft offences,44,(40.0. 60.0],West Midlands,Medium
92336,Dorset,2021,1,Sexual offences,1,(-0.001. 20.0],South West,Medium
23659,Surrey,2020,1,Violence against the person,46,(40.0. 60.0],South East,High
90664,Cumbria,2021,1,Sexual offences,3,(-0.001. 20.0],North,Medium
33508,Devon and Cornwall,2019,1,Theft offences,29,(20.0. 40.0],South West,No Lockdown
21599,South Yorkshire,2020,1,Theft offences,12,(-0.001. 20.0],East Midlands,High
